StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,id_prolific,check,assertion_36_31,assertion_36_34,assertion_36_35,assertion_36_37,assertion_36_38,assertion_36_40,assertion_36_41,assertion_36_42,assertion_36_45,assertion_32_31,assertion_32_34,assertion_32_35,assertion_32_37,assertion_32_38,assertion_32_40,assertion_32_41,assertion_32_42,assertion_32_45,assertion_33_31,assertion_33_34,assertion_33_35,assertion_33_37,assertion_33_38,assertion_33_40,assertion_33_41,assertion_33_42,assertion_33_45,question_36_31,question_36_34,question_36_35,question_36_37,question_36_38,question_36_40,question_36_41,question_36_42,question_36_45,question_32_31,question_32_34,question_32_35,question_32_37,question_32_38,question_32_40,question_32_41,question_32_42,question_32_45,question_33_31,question_33_34,question_33_35,question_33_37,question_33_38,question_33_40,question_33_41,question_33_42,question_33_45,assertion_39_31,assertion_39_34,assertion_39_35,assertion_39_37,assertion_39_38,assertion_39_40,assertion_39_41,assertion_39_42,assertion_39_45,assertion_44_31,assertion_44_34,"assertion_44_35 ",assertion_44_37,assertion_44_38,assertion_44_40,assertion_44_41,assertion_44_42,assertion_44_45,assertion_43_31,assertion_43_34,assertion_43_35,assertion_43_37,assertion_43_38,assertion_43_40,assertion_43_41,assertion_43_42,assertion_43_45,question_39_31,question_39_34,question_39_35,question_39_37,question_39_38,question_39_40,question_39_41,question_39_42,question_39_45,question_44_31,question_44_34,question_44_35,question_44_37,question_44_38,question_44_40,question_44_41,question_44_42,question_44_45,question_43_31,question_43_34,question_43_35,question_43_37,question_43_38,question_43_40,question_43_41,question_43_42,question_43_45,PROLIFIC_PID
2022-12-20 18:18:16,2022-12-20 18:20:30,0,100,134,1,2022-12-20 18:20:31,R_1pn9FjHcIVweIK4,anonymous,EN,1,5fff95c313799d10cc390f19,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fff95c313799d10cc390f19
2022-12-20 18:20:13,2022-12-20 18:21:18,0,100,64,1,2022-12-20 18:21:19,R_2vcaH8kBdCNmykR,anonymous,EN,1,60cd83946509ada9844efee9,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cd83946509ada9844efee9
2022-12-20 18:23:50,2022-12-20 18:24:57,0,100,66,1,2022-12-20 18:24:57,R_2YrJiS0DkrmyjwD,anonymous,EN,1,611171e4f17cbc5e26026d9c,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611171e4f17cbc5e26026d9c
2022-12-20 18:20:28,2022-12-20 18:25:18,0,100,289,1,2022-12-20 18:25:18,R_2zMG81i16RpNgMW,anonymous,EN,1,5c91856c50067a00161b8c3a,I pay attention,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c91856c50067a00161b8c3a
2022-12-20 18:24:08,2022-12-20 18:26:05,0,100,117,1,2022-12-20 18:26:05,R_2Ez4jGM9a3Jur15,anonymous,EN,1,606734f4935218ab9f94703c,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606734f4935218ab9f94703c
2022-12-20 18:26:43,2022-12-20 18:27:30,0,100,47,1,2022-12-20 18:27:31,R_AiCJr7O9kH3fbPz,anonymous,EN,1,5e177d5394a2dc087ed10f4e,I pay attention,1,2,2,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e177d5394a2dc087ed10f4e
2022-12-20 18:27:20,2022-12-20 18:28:07,0,100,46,1,2022-12-20 18:28:07,R_25u4i5buwzvf9qY,anonymous,EN,1,600735ac42969f1dbea8a16f,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600735ac42969f1dbea8a16f
2022-12-20 18:26:04,2022-12-20 18:28:10,0,100,125,1,2022-12-20 18:28:10,R_3ktRy3OUbcnSYvw,anonymous,EN,1,57eb03474f76aa0001995423,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,57eb03474f76aa0001995423
2022-12-20 18:30:22,2022-12-20 18:31:19,0,100,57,1,2022-12-20 18:31:20,R_1QgwweyeYbMvO0q,anonymous,EN,1,61005479660ed987bfe12958,I pay attention,,,,,,,,,,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61005479660ed987bfe12958
2022-12-20 18:30:58,2022-12-20 18:32:44,0,100,105,1,2022-12-20 18:32:44,R_2wzWRNUBIgFDPPw,anonymous,EN,1,632ea886a196ee386d077de0,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,632ea886a196ee386d077de0
2022-12-20 18:32:01,2022-12-20 18:33:01,0,100,59,1,2022-12-20 18:33:02,R_1prL5yPEFn9AKHZ,anonymous,EN,1,61029b5dadd1e9cf8ee002ab,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,61029b5dadd1e9cf8ee002ab
2022-12-20 18:31:10,2022-12-20 18:33:05,0,100,115,1,2022-12-20 18:33:05,R_12M5bSJeVducQgJ,anonymous,EN,1,610a26f335f5f8f2bc2f50c8,I pay attention,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610a26f335f5f8f2bc2f50c8
2022-12-20 18:32:12,2022-12-20 18:33:37,0,100,85,1,2022-12-20 18:33:38,R_yQl6Fu45SaptQKB,anonymous,EN,1,5e6734d8c93b304c33653171,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e6734d8c93b304c33653171
2022-12-20 18:30:15,2022-12-20 18:33:39,0,100,204,1,2022-12-20 18:33:40,R_0TUjRKUP1CJmwsp,anonymous,EN,1,60345f1a6f41922a712a186e,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60345f1a6f41922a712a186e
2022-12-20 18:31:04,2022-12-20 18:33:41,0,100,157,1,2022-12-20 18:33:42,R_TaTDDgYynwGq8QV,anonymous,EN,1,637397c04a5f681a549e960a,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,2,637397c04a5f681a549e960a
2022-12-20 18:32:41,2022-12-20 18:33:52,0,100,70,1,2022-12-20 18:33:52,R_1pnxeYXB0wYXdbY,anonymous,EN,1,5dbcab257d3d3625a70a80b1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dbcab257d3d3625a70a80b1
2022-12-20 18:33:27,2022-12-20 18:34:07,0,100,40,1,2022-12-20 18:34:08,R_R2Jm7qZJ8oSmRuV,anonymous,EN,1,5dc61266dbf82047e9a63610,"I pay attention ",,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dc61266dbf82047e9a63610
2022-12-20 18:33:47,2022-12-20 18:34:39,0,100,51,1,2022-12-20 18:34:40,R_1f2vV2gwikux1X9,anonymous,EN,1,5ea5a441b9696a01179b66ed,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,1,1,1,,,,,,,,,,5ea5a441b9696a01179b66ed
2022-12-20 18:34:09,2022-12-20 18:35:11,0,100,62,1,2022-12-20 18:35:12,R_1Q9iWEnFfAZms80,anonymous,EN,1,5d013b6597491100014a4fca,I pay attention,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d013b6597491100014a4fca
2022-12-20 18:33:31,2022-12-20 18:35:14,0,100,103,1,2022-12-20 18:35:15,R_2tfWeJVd2yb5xE6,anonymous,EN,1,5c03fc30c776820001bdadb3,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,1,1,1,2,5c03fc30c776820001bdadb3
2022-12-20 18:34:30,2022-12-20 18:36:17,0,100,106,1,2022-12-20 18:36:17,R_ywQa9VpQQQS8UFj,anonymous,EN,1,61005846cbe173e04d3ad69d,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61005846cbe173e04d3ad69d
