StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,id_prolific,check,assertion_7_13,assertion_7_10,assertion_13_7,assertion_13_10,assertion_10_7,assertion_10_13,assertion_29_16,assertion_29_30,assertion_16_29,assertion_16_30,assertion_30_29,assertion_30_16,assertion_33_40,assertion_33_31,assertion_40_33,assertion_40_31,assertion_31_33,assertion_31_40,question_7_13,"question_7_10 ",question_13_7,question_13_10,question_10_7,question_10_13,"question_29_16 ",question_29_30,question_16_29,"question_16_30 ",question_30_29,question_30_16,question_33_40,"question_33_31 ","question 40_33 ",question_40_31,question_31_33,question_31_40,PROLIFIC_PID
2022-11-04 18:58:31,2022-11-04 18:59:29,0,72.234.4.157,100,58,1,2022-11-04 18:59:30,R_27ygd2jls0Oo0Af,,,,,21.2982,-157.8444,anonymous,EN,1,5c3471a13ce2c80001115cf0,I pay attention,1,1,,,,,1,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,5c3471a13ce2c80001115cf0
2022-11-04 18:59:23,2022-11-04 19:00:46,0,108.52.236.134,100,83,1,2022-11-04 19:00:47,R_1LfqOcn5gsO8ztf,,,,,40.1425,-74.8603,anonymous,EN,1,5d90c4fadf90b6001549561e,I pay attention,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,,,,,1,2,,,,,5d90c4fadf90b6001549561e
2022-11-04 19:00:42,2022-11-04 19:02:34,0,174.207.100.56,100,112,1,2022-11-04 19:02:34,R_RkuhfId4RX5moDL,,,,,41.4951,-81.4657,anonymous,EN,1,60fe2901cd9b6b9ee71849ee,I pay attention,,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,2,,,,,,,1,2,60fe2901cd9b6b9ee71849ee
2022-11-04 19:00:19,2022-11-04 19:03:14,0,76.128.194.74,100,174,1,2022-11-04 19:03:14,R_3pbzDZ4ABtJbxGx,,,,,26.0988,-80.1806,anonymous,EN,1,5dd0952dade46216691820cc,I pay attention.,,,,,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,5dd0952dade46216691820cc
2022-11-04 19:06:44,2022-11-04 19:08:13,0,136.30.87.66,100,89,1,2022-11-04 19:08:13,R_3jcvpLOGlX2Qamd,,,,,41.9209,-87.7043,anonymous,EN,1,614eadc7ee77ba0dc503cd03,I pay attention,,,,,1,1,1,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,614eadc7ee77ba0dc503cd03
2022-11-04 19:08:10,2022-11-04 19:09:24,0,68.112.223.176,100,74,1,2022-11-04 19:09:25,R_bPgktI0HBH7tXDX,,,,,30.2944,-89.815,anonymous,EN,1,583f080a164cd30001c347ea,I pay attention,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,2,,,2,2,,,583f080a164cd30001c347ea
2022-11-04 19:01:55,2022-11-04 19:11:09,0,50.232.217.90,100,554,1,2022-11-04 19:11:10,R_ZKru4PwYVsWX0Jj,,,,,38.8224,-76.9466,anonymous,EN,1,62695575c92e508d9232fd1a,no,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,,,62695575c92e508d9232fd1a
2022-11-04 19:09:37,2022-11-04 19:12:04,0,172.58.140.72,100,146,1,2022-11-04 19:12:04,R_2vbGBOSMqwr3Kl3,,,,,41.8825,-87.7185,anonymous,EN,1,5d9bc269f371b8028c8f52b9,"I pay attention ",,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,,,,,,,1,2,5d9bc269f371b8028c8f52b9
2022-11-04 19:11:44,2022-11-04 19:13:28,0,172.58.190.207,100,104,1,2022-11-04 19:13:29,R_cOwRwOjBXXa1p6N,,,,,38.9034,-76.9882,anonymous,EN,1,5ff792bdc0091e494e352e9b,I pay attention,,,1,2,,,,,,,2,1,,,1,2,,,,,,,,,,,,,,,,,,,,,5ff792bdc0091e494e352e9b
2022-11-04 19:07:48,2022-11-04 19:14:01,0,76.20.128.239,100,373,1,2022-11-04 19:14:01,R_PB7M0dsXFC2PHlT,,,,,42.3914,-83.1493,anonymous,EN,1,5a349be43e523d000194399e,I pay attention,1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,5a349be43e523d000194399e
2022-11-04 19:12:07,2022-11-04 19:14:28,0,174.67.3.8,100,141,1,2022-11-04 19:14:29,R_1NksOLPeMZrEfcT,,,,,35.3928,-97.5548,anonymous,EN,1,611eb4e2eb8483596b39d46b,no,,,1,1,,,,,1,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,611eb4e2eb8483596b39d46b
2022-11-04 19:13:56,2022-11-04 19:15:15,0,132.236.110.175,100,79,1,2022-11-04 19:15:16,R_RXlyl3FdTDVBkCR,,,,,42.5203,-76.6715,anonymous,EN,1,6100489a9ac28a5218238157,I pay attention,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,1,1,1,,,,,6100489a9ac28a5218238157
2022-11-04 19:13:31,2022-11-04 19:15:38,0,172.58.22.217,100,126,1,2022-11-04 19:15:38,R_RDkAPePCIl2FVqp,,,,,33.972,-118.242,anonymous,EN,1,5bc3b13fa36d7100013f4b62,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,1,1,,,,,,,1,1,,,5bc3b13fa36d7100013f4b62
2022-11-04 19:14:36,2022-11-04 19:15:49,0,198.137.18.150,100,72,1,2022-11-04 19:15:50,R_2Y54jFIse70TemG,,,,,33.9332,-83.3536,anonymous,EN,1,5f6cefecb8137d13565d8c33,I pay attention,1,2,,,,,1,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,5f6cefecb8137d13565d8c33
2022-11-04 19:14:41,2022-11-04 19:17:03,0,98.30.50.175,100,142,1,2022-11-04 19:17:04,R_30kmhVNOAGn54ga,,,,,41.0413,-83.6461,anonymous,EN,1,5859285b73f2620001c21bb8,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,1,1,5859285b73f2620001c21bb8
2022-11-04 19:16:41,2022-11-04 19:17:36,0,73.170.86.20,100,54,1,2022-11-04 19:17:36,R_1ZGRqSkUpp3jx5f,,,,,37.3479,-122.0351,anonymous,EN,1,5fecf6e660d5fba3b127a9c4,I pay attention,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,,,,,5fecf6e660d5fba3b127a9c4
2022-11-04 19:15:30,2022-11-04 19:19:14,0,98.23.48.165,100,224,1,2022-11-04 19:19:14,R_2WSWiqKMK468Nyr,,,,,37.8868,-84.5667,anonymous,EN,1,5c0fdcfd3481220001de3039,I pay attention,,,,,2,2,,,,,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,5c0fdcfd3481220001de3039
2022-11-04 19:17:44,2022-11-04 19:19:22,0,75.137.209.88,100,97,1,2022-11-04 19:19:22,R_2CP1JHGguh3qiuF,,,,,33.1752,-86.2713,anonymous,EN,1,5c227a64da51990001e1e0a2,I pay attention,,,,,1,1,,,2,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,5c227a64da51990001e1e0a2
2022-11-04 19:18:29,2022-11-04 19:20:00,0,192.150.174.16,100,91,1,2022-11-04 19:20:00,R_4T5FkV9qqUxGwMx,,,,,39.0133,-94.5916,anonymous,EN,1,5c7f2dc436ad0a00110bb122,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,1,,,,,1,1,5c7f2dc436ad0a00110bb122
2022-11-04 19:18:25,2022-11-04 19:20:02,0,70.177.72.216,100,96,1,2022-11-04 19:20:02,R_3kCjcakV079t6ss,,,,,36.0293,-95.9343,anonymous,EN,1,5f55bbd5fc189099844bd057,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,2,,,5f55bbd5fc189099844bd057
2022-11-04 19:17:54,2022-11-04 19:21:04,0,63.160.189.102,100,190,1,2022-11-04 19:21:04,R_3Ooy4jJFm1sokn6,,,,,34.0014,-84.0144,anonymous,EN,1,614ee5e28a2f0a07d4d639dd,I pay attention.,,,1,1,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,614ee5e28a2f0a07d4d639dd
2022-11-04 19:18:42,2022-11-04 19:21:37,0,75.150.203.106,100,174,1,2022-11-04 19:21:37,R_1eEn0UI5fkI6cam,,,,,39.4057,-87.4026,anonymous,EN,1,6151b89467485c945659f055,i pay attention,1,1,,,,,1,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,6151b89467485c945659f055
2022-11-04 19:20:38,2022-11-04 19:21:55,0,69.117.108.6,100,77,1,2022-11-04 19:21:55,R_10IRrDBlCyW4eJ7,,,,,41.1341,-73.7831,anonymous,EN,1,5a0a30d90fff620001a6c16d,I pay attention,,,,,1,1,,,1,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,5a0a30d90fff620001a6c16d
2022-11-04 19:21:10,2022-11-04 19:22:29,0,76.14.182.204,100,78,1,2022-11-04 19:22:29,R_1jUGvzt4bGJXr7W,,,,,38.7425,-121.1947,anonymous,EN,1,616faf3ab8c53e7a73a5dea5,I pay attention,1,2,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,616faf3ab8c53e7a73a5dea5
2022-11-04 19:16:36,2022-11-04 19:22:42,0,172.58.176.156,100,366,1,2022-11-04 19:22:43,R_u4AZZniyEwZn4dP,,,,,32.7797,-96.8022,anonymous,EN,1,60b62f3f405ea95e4b988ff9,I pay attention,,,1,2,,,,,,,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,60b62f3f405ea95e4b988ff9
2022-11-04 19:22:19,2022-11-04 19:22:53,0,98.117.62.58,100,34,1,2022-11-04 19:22:53,R_1NEB6epU2nJBYlL,,,,,39.2955,-76.963,anonymous,EN,1,6101bb1f660cef21e0ed290e,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,,,6101bb1f660cef21e0ed290e
2022-11-04 19:19:37,2022-11-04 19:23:39,0,68.10.93.22,100,241,1,2022-11-04 19:23:39,R_3KpgEwivsubkHFQ,,,,,36.7348,-76.2343,anonymous,EN,1,6174b5852985c94f3684a05d,"""I Pay Attention""",,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1,1,6174b5852985c94f3684a05d
2022-11-04 19:19:51,2022-11-04 19:23:43,0,107.120.41.50,100,231,1,2022-11-04 19:23:43,R_2e24er6bihc7NBG,,,,,32.6731,-96.7755,anonymous,EN,1,614e8729fb12a3f553e70066,I pay attention,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,,,,,1,1,,,,,614e8729fb12a3f553e70066
2022-11-04 19:23:39,2022-11-04 19:24:28,0,72.45.221.94,100,49,1,2022-11-04 19:24:29,R_1FmGNJiO0acX0B9,,,,,44.5548,-68.4121,anonymous,EN,1,60fdf104935a0ef0e93762b0,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,,60fdf104935a0ef0e93762b0
2022-11-04 19:22:51,2022-11-04 19:24:34,0,75.172.143.228,100,103,1,2022-11-04 19:24:34,R_2zNPMByXgv8wZTE,,,,,47.6348,-122.3451,anonymous,EN,1,627291bbdfcd4d5c0120cf80,I pay attention,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1,2,,,627291bbdfcd4d5c0120cf80
2022-11-04 19:22:13,2022-11-04 19:24:46,0,47.12.170.150,100,152,1,2022-11-04 19:24:46,R_1pzIKdSWyvw9s8N,,,,,45.8827,-95.3783,anonymous,EN,1,5bb97572636c800001d60ccf,"I pay attention ",,,2,2,,,1,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,5bb97572636c800001d60ccf
2022-11-04 19:23:30,2022-11-04 19:24:46,0,67.52.241.218,100,76,1,2022-11-04 19:24:47,R_3fPmVXNIUQ531Kh,,,,,43.0006,-88.22,anonymous,EN,1,5bf465a2f35e0c00010178af,"I pay attention ",,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,,,,,,,,,1,1,5bf465a2f35e0c00010178af
2022-11-04 19:22:56,2022-11-04 19:25:07,0,148.59.59.223,100,130,1,2022-11-04 19:25:09,R_337SnxfNm9BJyEq,,,,,37.2941,-121.8996,anonymous,EN,1,6361ef7a251575ee159c95a8,I pay attention,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,6361ef7a251575ee159c95a8
2022-11-04 19:24:11,2022-11-04 19:25:39,0,65.31.109.178,100,87,1,2022-11-04 19:25:40,R_2QxLxoKgf0Leadx,,,,,42.951,-87.9437,anonymous,EN,1,636182d3f52ff78fc3f7de50,I pay attention,1,1,,,,,,,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,636182d3f52ff78fc3f7de50
2022-11-04 19:24:46,2022-11-04 19:26:20,0,68.194.11.61,100,93,1,2022-11-04 19:26:20,R_25RRdxFnW2QmjMN,,,,,41.739,-73.5856,anonymous,EN,1,633710a48d16347ec1213495,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,1,,,,,1,1,,,633710a48d16347ec1213495
2022-11-04 19:24:52,2022-11-04 19:26:27,0,131.239.18.14,100,95,1,2022-11-04 19:26:28,R_24J0uIrMGOrdKxD,,,,,39.8655,-86.122,anonymous,EN,1,60036bc7542fe90b78ec1ba4,I pay attention,1,2,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,60036bc7542fe90b78ec1ba4
2022-11-04 19:25:00,2022-11-04 19:26:39,0,173.170.15.136,100,99,1,2022-11-04 19:26:40,R_27wyEvlSxGW2SGI,,,,,28.1951,-81.6062,anonymous,EN,1,5dcae5f05b73eb7c6150d33f,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,5dcae5f05b73eb7c6150d33f
2022-11-04 19:24:56,2022-11-04 19:27:07,0,147.4.36.77,100,131,1,2022-11-04 19:27:07,R_2f0SaVKYfOvehkf,,,,,40.7193,-73.6006,anonymous,EN,1,6273e74790a5c7b39756a5bc,I pay attention,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,2,2,,,,,6273e74790a5c7b39756a5bc
2022-11-04 19:27:25,2022-11-04 19:28:47,0,174.202.160.84,100,81,1,2022-11-04 19:28:47,R_A5plt3v6R4jDwyd,,,,,35.4662,-97.5168,anonymous,EN,1,632d780b81903882cb3cd2ea,I pay attention,,,1,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,632d780b81903882cb3cd2ea
2022-11-04 19:27:21,2022-11-04 19:29:01,0,108.183.151.228,100,99,1,2022-11-04 19:29:02,R_1BrBwYMzSYXtNXH,,,,,43.7949,-70.2693,anonymous,EN,1,610769f26a925fec975759ff,I pay attention,,,,,2,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,610769f26a925fec975759ff
2022-11-04 19:28:11,2022-11-04 19:29:03,0,12.231.156.67,100,51,1,2022-11-04 19:29:03,R_3EEJJEoLwzBYML5,,,,,42.4263,-82.9014,anonymous,EN,1,59c3f1de8e6ea10001f7b9f4,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,1,1,59c3f1de8e6ea10001f7b9f4
2022-11-04 19:27:38,2022-11-04 19:29:46,0,174.110.117.233,100,128,1,2022-11-04 19:29:47,R_2X1ck9ZYdqgqBHK,,,,,34.2243,-77.8849,anonymous,EN,1,63653f935faf902ef037e526,I pay attention,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1,2,,,63653f935faf902ef037e526
2022-11-04 19:28:08,2022-11-04 19:30:08,0,32.212.162.211,100,120,1,2022-11-04 19:30:08,R_10CMgAKAWDf1uFR,,,,,41.3813,-73.4035,anonymous,EN,1,5662218473ac8700058095b1,I pay attention,1,2,,,,,1,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,5662218473ac8700058095b1
2022-11-04 19:29:02,2022-11-04 19:30:11,0,47.151.143.5,100,69,1,2022-11-04 19:30:12,R_1ibvlPQDXXDcpHz,,,,,34.0125,-118.4682,anonymous,EN,1,62029964ef1cb18a1337c459,I pay attention,1,2,,,,,,,1,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,62029964ef1cb18a1337c459
2022-11-04 19:29:50,2022-11-04 19:31:13,0,107.115.9.59,100,83,1,2022-11-04 19:31:13,R_1gj2DTBdIPAlbzf,,,,,29.8595,-95.3847,anonymous,EN,1,60dfc07ddcd24dcc266d8690,I pay attention,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,1,,,1,2,,,60dfc07ddcd24dcc266d8690
2022-11-04 19:30:19,2022-11-04 19:31:31,0,74.78.164.121,100,71,1,2022-11-04 19:31:31,R_5ywZ24Ge4ol7GrT,,,,,44.54,-70.5627,anonymous,EN,1,5c3affca11b5a4000154f997,I pay attention,,,2,2,,,1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,5c3affca11b5a4000154f997
2022-11-04 19:30:31,2022-11-04 19:32:20,0,67.86.212.199,100,109,1,2022-11-04 19:32:21,R_1OOXDXyZ1QKxlpA,,,,,40.7597,-74.1836,anonymous,EN,1,62f57b03f56513c58f1cf1d1,I pay attention,,,,,1,1,,,2,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,62f57b03f56513c58f1cf1d1
2022-11-04 19:30:25,2022-11-04 19:32:24,0,73.146.66.140,100,119,1,2022-11-04 19:32:25,R_1XGUjCbffQb7r3z,,,,,40.0996,-85.6843,anonymous,EN,1,622a24163ab4c46804399b02,I pay attention,,,,,1,1,1,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,622a24163ab4c46804399b02
2022-11-04 19:31:23,2022-11-04 19:32:29,0,24.247.80.18,100,66,1,2022-11-04 19:32:30,R_XpqhC5M2UhEXprb,,,,,42.5353,-83.7768,anonymous,EN,1,55ba244bfdf99b13f63baf7f,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,2,,,1,2,,,,,55ba244bfdf99b13f63baf7f
2022-11-04 19:30:01,2022-11-04 19:33:17,0,216.239.164.83,100,195,1,2022-11-04 19:33:17,R_3LYZ3QlLQLmEIn8,,,,,28.4998,-81.3288,anonymous,EN,1,614e088cf42a096eee875324,I pay attention,,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,,,,,1,1,,,,,614e088cf42a096eee875324
2022-11-04 19:31:58,2022-11-04 19:33:20,0,68.111.211.128,100,82,1,2022-11-04 19:33:20,R_8BXrPilsmYpVyWB,,,,,33.1661,-117.0932,anonymous,EN,1,611955757518564c97288f99,I pay attention,,,2,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,611955757518564c97288f99
2022-11-04 19:32:02,2022-11-04 19:33:32,0,174.211.107.84,100,90,1,2022-11-04 19:33:33,R_24FWnTbysGXNaYn,,,,,28.6344,-81.6221,anonymous,EN,1,6102d5e6ff92a8dd0cce6b8f,"I pay attention ",,,1,2,,,,,,,2,1,,,,,1,1,,,,,,,,,,,,,,,,,,,6102d5e6ff92a8dd0cce6b8f
